Q,K1,K2,K3,K4,A
ゲーム 『WiiFit』を遊ぶ時に使う、白いボードのことを「何Wiiボード」という2,バランス,ウェイト,パワー,スペンャル,バランス
"北欧などでみられる、氷河によって-くられたU字谷に海水が浸入してできた深い湾
湾を何という
の, /",デルタ,カルデラ,フィヨルド,リアス,フィヨルド
じゅんいちダビットソンが得意とするのは、次のうち誰のモノマネ ?,本田圭病,岡崎慎司,長友佑都,香川真司,本田圭病
陸上の400mハードル。 飛び越えるハードルの数は全部でいくつ?,100個,200個,10個,50個,10個
ベッカムやルーニーと いえば、どこのサッカー代表だった2?,アイスランド代表,ニュージーランド代表,イングランド代表,アイルランド代表,イングランド代表
指先に強く物が当たったりして、指の関節などを痛めることを何という?,突き指,刺し指,折り指,殴り指,突き指
3ヶ国で運営するSASスカンジナビア航空に由来の無い国はどれ?,中国,スウェーデン,デンマーク,ノルウェー,中国
次のうち、ホラーゲームはどれ?,SIREN,4,Formula One,ICO,SIREN
を:さゆ中ニョた円,K,H,0,S,H
本田技研工業が開発した、階段の上り下りもできる二足歩行ロボットといえはばは何 ?,UDEMO,ASIMO,KAOMO,KATAMO,ASIMO
細川たかしのヒット曲『北酒場』で、北の酒場通りに似合うと歌われているのはどんな人 ?,薄化粧の女,大きな瞳の女,未亡人の女,長い髪の女,長い髪の女
メガネやコンタクトレンズといえば、何を矯正する道具 ?,聴力,腕力,走力,富カ,富カ
款筐親王、守邦親王、源頼朝といえば、何という幕府で将軍になった人物 ?,鎌昼幕府,江戸幕府,室町幕府,在安幕府,鎌昼幕府
「日本国電法』の前文の出だしは何 :,日本国民は,先の戦争の,われらは,恒久の在和の,日本国民は
市町村単位で開設される、超短波帯の電波を利用した小規模のFMラジオ局を何という ?,トリニティトFM,コミュニティ FM,アメニティトFM,マタニティ FM,コミュニティ FM
山口県の県庁所在地は?,山口市,徳山市,高槻市,秋市,山口市
野球で、捕手の後ろにいて投球の側定をする審腹を何という ?   「,線審,球審,階審,下番,球審
実写映画『進撃の巨人』で、ヒロインのミカサを演じた女優は誰 ?,観月ありさ,水原希子,潮川クリステル,ローフラ,水原希子
長崎県にあるテーマパーク「ハウス〇つつ」。〇のつつ〇に入る言葉は何 ?,タンブル,テンボス,エンボス,シンボル,テンボス
ビートルズのメンバー、ジョン・レノンと結婚した、日本生まれの女性芸術家は誰 ?,マキ・ヨーコ,タカハシ・ヨーコ,オノ・ヨーコ,ンョーノ・ヨーコ,オノ・ヨーコ
「NEXT DIMENSION 冥王利話』 という続編がある車田正美の漫画は何 ?,罰闘士星矢,北斗の挙,キン肉マン,シティーハンター,罰闘士星矢
次のうち、全力で走ることを意味する言葉はどれ?,アッシュ,キッシュ,ダッシュ,ラッシュ,ダッシュ
の jpまっ78半 hGのにヨゴリルAMEIIME3Yのかはどれ ?        「,ルビピー,ダイヤモンド,サファイア,エメラルド,ダイヤモンド
プロゴルファーの尾崎将司のニックネームは何 ?    _,ジャンル,ジャンク,ジャンプ,ジャンボ,ジャンボ
次のうち、東京23区に実在する区はどれ?          「,目白区,目赤区,"目青
区",目時区,目時区
スポーツに関する組織「I0C」の日本語名は国際オリンピック〇〇〇。CXに入る言葉は何 ?,,株式総会,番査会,委員会,委員会
ハイヒール、ピンヒールの「ヒール」とは、足のどの部分のこと?,爪,足の裏,つま先,かかと,かかと
次のうち、サッッカーゲームではないものはどれ2?,イナズマイレブン,ウイニングイレブン,ファミリースタジアム,バーチャストライカー,ファミリースタジアム
岩崎恭子や北島康介がオリンピックで金メダルを取った水泳の種目は回角,年泳ぎ,背泳ぎ,自由形,バタフライ,年泳ぎ
次のうち、記号「m」で表される長の:LIY4たす2ルEE,アンペア,ケルビン,メートル,モル,メートル
柔道やレスリングで、床に倒れ込んだ姿勢で仕掛ける技を何という ?,寝技,当身技,立ち技,投げ技,寝技
次の陸上競技のうち、世界記録が最も短いものはどれ?,100m競走,10000m競走,110mハードル,フルマフソン,100m競走
お笑いコンビ・ペナルティの2人が高校時代にやっていたスポーツは回角,バスケットボール,サッカー,野球,卓球,サッカー
IIのたヨミレネッた2のミレ葉「〇〇〇を浴びる」。〇〇〇は回角,コピーライト,ムーンライト,スポットライト,スモールライト,スポットライト
指でつつくなと刺激を与えると丸くなることから名前がついた、等脚目の動物は何 ?,オニギリムシ,ダンゴムシ,オハギムシ,シラタマムシ,ダンゴムシ
次のうち、4本の弦を持つ、ハワイ音楽に使用される弦楽器はどれ ?,ウクレレ,バンジョー,マンドリン,バラライカ,ウクレレ
「ブルマン」と申される高級コーヒー「ブルー〇〇〇」。 〇〇〇は何 ?,マンダリン,マウンテン,マーリンズ,マカロン,マウンテン
大学で見られる次の成績評価のうち、単位を取得できなかったものはとれ?,可,不可,良,優,不可
家庭用洗濯機の容量を表す単位は円時,km,kd,「T1d,「TIT,kd
日光の直射を受けて、皮膚が褐色に変わることを、普通、何という ?,日焼け,木焼け,火焼け,水焼け,日焼け
礁三振の多い投手はドクター「これ」とも呼ばれる、野球で三振を表すアルファベットは何 ?,H,J,K,,K
どぶろっくの直人、タレントのともみ、俳優の洋介に共通する名字は回角,玉木,江口,秋本,寺田,江口
章話 『ヘンゼルとグレーテル』で、魔女が住む家はどんな家?,サラダの家,パスタの家,スープの家,お菓子の家,お菓子の家
プロ野球日本シリーズの優勝チームが行う胴上げで、普通、最初に胴上けされるのは誰 ?,助っ人外国人,監督,ベテラン選手,敵チームの最終打者,監督
次のうち、壁に寄りかかった人に缶かい、壁に手をかける行為を意味する言葉はどれ ?,どかべん,どべかん,かべどん,かどべん,かべどん
アレルギー反応によって起こる、かゆみや発疹などの皮膚の炎症を何という ?,アノミー,アルケー,アトピー,アドビー,アトピー
アニメ映画『レミーのおいしいレストラン』。 主人公のレミーガが目指す有職業は何 ?,パイロット,カーレーサー,俳優,ンエフ,ンエフ
次のうち、緑川ゆさの漫画はどれ ?,春目友人帳,冬目友人帳,秋目友人帳,夏目友人帳,夏目友人帳
浜田雅功と松本人志からなる、吉本興業所属のお笑いコンビは何 ?,ニュータウン,ダウンタウン,ベッドタウン,ゴーストタウン,ダウンタウン
『ABC』 『帰ってほしいの』などのヒト曲がある、アメリカの兄弟音楽グループは何 ?,ジェイソン5,ジョンソン5,ジャクソン5,ジョーンズ5,ジャクソン5
次のうち、いたずら好きで元気な子どもの性格を意味する言葉はどれ 2?,うじちゃ,しんちゃ,てんちゃ,やんちゃ,やんちゃ
「撮り鉄」や「乗り鉄」といえば、どんな交通機関のファンのこと ?,鉄道,バス,タクシー,飛行機,鉄道
矢沢あいの漫画『NANA』 の主人公・大崎ナナの職業は何2,獣医,ミュージンャン,弁護士,パイロット,ミュージンャン
次のうち、かんさつ類の果物にあるのはどれ2?,バナナフルーツソ,アップルフルーツ,チェリーフルーツ,グレープフルーツ,グレープフルーツ
コーンパイプ、終戦のエンペラー、GHQから連想される人物は誰 ?,ナウマン,マッカーサー,クラーク,ペリー,マッカーサー
PL学園高校時代に「KKコンビ」と呼ばれた2人の野球選手とは、桑田真油と誰?,清原和博,今江敏晃,宮本慎也,大村三朗,清原和博
東京・上野公園に、犬を連れた姿の銅像が設置されている歴史上の人物二見ときと: 拓?,大久保利通,木戸孝葛,西郷隆盛,坂本龍馬,西郷隆盛
一般に「ぶどう酒」といえば、どんな飲み物のこと2,ビール,ウイスキー,日本酒,ワイン,ワイン
日本語では「すばる」と呼ばれる、おうし座にある星団は何 ?,ヒアデス星団,プレセペ星団,プレアデス星団,二車星団,プレアデス星団
毎年月22日、地球を環境破壊・汚染から守るために行動する「地球の日」のことを何という ?,アースデー,サンデー,ムーンデー,マーズデー,アースデー
手塚治虫のマンガ『「鉄腕アトム』で、アトムが空を飛ぶときに火を噴く体の部分はどこ ?,品,足の裏,手のひら,育中,足の裏
「テレビ」を、アルファベット2文字では何と表す ?,CM,JT,TB,TV,TV
次のうち、サッカーの用語でないのはどれ ?      「,フリーキック,ロックイン,スローイン,キックオフ,ロックイン
井上公造、松本佳子といえば、次のうちどんなニュースに関するリポーター?,"キムヒ
こす:|コ",天気,スポーツ,,"キムヒ
こす:|コ"
おなじみのゲームキャラクター・マリオの帆子にデザインされているアルファベットは何 ?,P,M,W,L,M
バレーボールでセッターがトスを上けると見せかけてアタックすることを何と言う?,フォーアタック,エイトアタック,シックスアタック,ツーアタック,ツーアタック
