テニスがオリンピックで64年ぶりに6式競技として復活したのは、どこの者市で開催された大会 2,アテネ,シドニー,ソウル,北京,ソウル
リポン4リレロリヒギフウンルシル:た6にん 多.4ティの誕生日はいつ?,3月18日,1月18日,4月18日,2月18日,1月18日
次のうち、友白色または褐色の斑点が出来る皮膚病の一種は何 ?,なまず,かれい,どじょう,ひらめ,なまず
「魔法少女リリカルなのはAs」の監督の名前は?      「,玉本雄二郎,岩崎実,宇津木恭介,草川啓造,草川啓造
ドラマ「流星の絆」で、主人公達の家である洋食屋さんの名前は?,ARIAKE,アリアケ,有明,ありあけ,アリアケ
大相撲の土依を円形に取り巻く令の数はいくつ2,20個,40個,80個,60個,20個
次のうち、フィリピンの国名の由来はどれ2?,山の名前,人の名前,紳の名前,川の名前,人の名前
葉加瀬太郎ら3人からなるバンド、クライズラー&〇〇〇。〇〇〇は回角,ブラウニー,セレモニー,カンパニー,ハーモニー,カンパニー
次のうち、実際には存在しない星座は何 ?                「,ほうおう座,りゅう座,ペガスス座,ガーゴイル座,ガーゴイル座
ゲーム『ミスタードリラー』シリーズに登場する「プチ」は、どんねな動物 ?,ネコ,イヌ,ウサギ,ネズミ,イヌ
中生代の地質時代のひとつ、ジュラ和紙2】s=P あののずんの】ちる円【のとう1[半,砂漠,山上服,,洞窟,山上服
お笑いコンビ・かもめんたるのメンバーは柄尾ユウスケと誰 ?,岩崎え大,岩崎う大,岩崎あ大,召崎い大,岩崎う大
アメリカのドラマ『エレメンタリー』の主人公である名探偵は誰 ?   -,シャーロック・ホームズ,エラリー・クイーン,コロンボ,エルキュール・ポアロ,シャーロック・ホームズ
TBSの情報番組 『グッとラック ! 」のテーマ曲 Im Lovin』を歌う歌手は上:壮4,倖田來未,大塚愛,浜崎あゆみ,椎名林檎,倖田來未
セーリング競技の選手が雨のときにき*用する「サウウエスター」とは何の和類 ?,帽子,手袋,ブーツ,マスク,帽子
あしたのジョーで「戦うコンピューター」金童飛の得意技といえばチョムチョム。 漢字で書くと?,蝶々,殴々,娘々,舞々,舞々
テニスの四大大会のうち、全裏オーフンに続いて開催されるのは何 ?,年仏オープン,ウィンブルドン,全霞オープン,全独オープン,年仏オープン
次のうち、素粒子のクォークの6種類のフレーバーにあるのはどれ2?,コップ,トップ,モップ,ホップ,コップ
313年にコンスタンティヌス帝が発布した、キリスト教を公認した勅令を何という ?,ギュルハネ勅令,ミラノ勅令,ナント勅令,ポツダム勅令,ミラノ勅令
アミノ酸が持っているアミノ基は、どんな物質から水素を1つとった構造をしている ?,水,メタン,アンモニア,エタン,アンモニア
東分東横線の駅でないのは、次のうちとどれ?,二子玉川,都立大学,田園調布,新丸子,二子玉川
NBAのレイカーズが本拠地を置いている、アメリカの都市はどこ ?,セントポボール,"シン
アトル",ニューオリンズ,ロサンゼルス,ロサンゼルス
日本画で主に髪の毛や眉毛を描くのに用いられる、穂先が非常に長い筆は何 ?,丸和健,面相筆,隈取財,在筆,面相筆
エクスパンダ星からやってきたパンダ王子という設定である、テレビ朝日のマスコットは何 2,サーン土子。,ヨンさま。,ゴーちゃん。,ロッくん。,ゴーちゃん。
AKB48の17thシングル選抜総選挙の結果で板野友美は何位だった?,4位,5位,3位,6位,4位
ゲーム 『パックマン』で、食べると敵を食べることができるパワークッキーは1面にいくつある?,3つ,1つ,2Zつ,4つ,4つ
病院でもらうことがある処方箋の有効期限は、発効日も含めて何日間 ?,4日間,7日間,14日間,当日のみ,4日間
イタリア語で「小さなガチョウ」という意味の名前がつけられた楽器は回角,ビピアノ,マンドリン,ピッコロ,オカリナ,オカリナ
次のうち、同期の芸人でないのは!,オリエンタルラジオ,はんにや,フルーツボンチ,しずる,しずる
次のうち、背中や肩を露出するデザアオリようの】ちたず2交員り,タートルネック,ヘンリーネック,ホルターネック,ボートネック,ホルターネック
作家・京極夏彦のデビュー作は?,書獲鳥の邊,絡新婦の理,襲の陣,狂骨の夢,書獲鳥の邊
元サッカー選手のベッケンバウアーと元FHドライバーのシューマッハに共通するニックネームは何 ?,貴公子,土子,皇帝,土様,皇帝
次のうち、重さがちょうどと一多(3.75q) の硬貨はどれ?,1円硬貨,500円硬貨,10円硬貨,5円硬貸,5円硬貸
「草葉の陰」といえば、一般的に、どんな場所を意味する言葉 ?,死後の世界,目立たない場所,地下街,樹海,死後の世界
椎名軽穂の漫画『君に届け』に登場する教師・荒井一市の愛称は何 ?,ポン,ピン,パン,ドン,ピン
アメフトの人気選手だった「ペイトン」と「イーライ」。 この二人は「何」兄第?,マニング兄尼,ボスティック兄弟,ベイリー兄弟,クリスチャン兄弟,マニング兄尼
地質年代でアンモナイトが絶減したのは何紀?,ペルム紀,三畳紀,ジュラ紀,日亜紀,日亜紀
日本酒の中でも特に精米歩合50%以下の米で造られたお漂を何という ?,綿米酒,大吟醸酒,,混合酒,大吟醸酒
アニメ 『若おかみは小学生I』 で、主人公のおっここと関織子は小学何年生?,小学3年生,小学5年生,小学4年生,小学6年生,小学6年生
外国の結婚式で、ウェディングパーティー用のお酒としても有名なカクテルは?,ギムレット,マティーニ,キール,オレンジ・ブロッサム,オレンジ・ブロッサム
花から香料を探取するのが困難なため、調香帥のイメージで調合され作られているものは!,次徴,ジャスミン,すずらん,ミモザ,すずらん
物事を始めるときの最初の一手のことを、初めにすえるお人灸にたとえて何という3?,皮切り,出だし,火打ち,さきがけ,皮切り
"火野着信の漫画 「たくのみ。 』 で、月みちるが暮らしているシェアハウスの部屋
番号
号は何号
Eヨ の/",301号室,401号室,201号室,101号室,101号室
陸上の走り高跳びは、同じ高さに最大何回まで挑戦できる ?2,5回,4回,3回,2回,3回
アイドルグループ「スーパーガールズ」の正しい表記は次のうちどれ ?,SUPERIGirls,SUPER芝GiRLS,SUPER丈Girls,SUPERIGIRLS,SUPER芝GiRLS
ウパ pまっ8還こさ 具1の】たすきれ 2?,黄海,日海,,紅海,黄海
大相撲の会場で「正面」といえばどの方角のこと?   -,南,北,西,東,北
「シベット」とは、何の動物から摂れる香り?     ー,"セミ鯨
ER",ハクビシン,稀香鹿,穏香氏,穏香氏
次のうち、太陽表面の摂氏温度に最も近い値はどれ2,6000度,600度,6万度,60万度,6000度
シューティングゲーム 『!『ゼビウス」に登場する、敵の組織の名前は何 ?,ザンプ,バンプ,ガンプ,ダンプ,ガンプ
ル・マンも制したフェラーリの名車「テスタ・ロッサ」。 名前の由来はエンジンの形状だが、その意味は?,赤い頭,でかい頭,跳ね馬,12の頭,赤い頭
イタリアのクルティス兄弟によって作曲された、有名なナポリ民謡は回角,帰れソレイユへ,帰れソレスタへ,帰れソレミアへヘへ,帰れソレントへ,帰れソレントへ
次のうち、一般的に風向が一日のうちに規則的に変化する性質をもつ風はとどれ?,偏西風,季節風,海陸風,買易風,海陸風
森本学ヴの漫画『ぼくはガリレオ』で、ガリレオが目指しているのは次のうちどれ?,王様,理様,,博士,理様
次のうち、俳優の小栗旬がアニメ『ドラえもん』に出演したときの役るはとどれ?,山栗旬,小栗旬,甘栗旬,近栗旬,甘栗旬
1958年に発表された、九州大学生体解剖事件を題材とした、遠藤周作の小説は何?,山と毒楽,川と毒薬,森と毒薬,海と毒楽,海と毒楽
辞書『広辞移』に採用されている、書籍の寸法の名前は何 ?,桐版,梅版,奥版,桜版,奥版
「シチュエーション・コメディ」の略である、アクシデントや誤解などの状況設定で笑わせる劇は何 ?,ナサコム,ドットコム,シットコム,テレコム,シットコム
「倍数比例の法則」を発見したイギリスの科学者は誰 ?,ラボアジエ,プルースト,ドルトン,ゲーリュサック,ドルトン
「赤痢菌」を発見した、明治・大正期の細菌学者は誰 ?  「,志賀潔,北里柴三郎,秦佐八郎,部不梅太郎,志賀潔
ケッペンの気候区分における5つの気候帯のうち、一般に最も低緯度に位置するものはとどれ?,杜帯,"^臼 せキ
。m '定",乾燥帯,熱帯,熱帯
「物干し竿」と呼ばれた長いバットで知られる、初代「ミスタータイガース」は誰 ?,掛布雅之,村山実,田淵幸一,藤村富美男,藤村富美男
小説「たけくらべ」などで知られる女流作家・樋口一葉が活躍したのは回に9,明治時代,昭和時代,大正時代,江戸時代,明治時代
アニメ「魔御英雄伝ワタル」の主人公・ワタルの苗字は?  」,戦部,剣部,渡部,,戦部
甲設類の直と、トマト、ワインなどを入れて者込んだ、オレンジ色が特徴的なソースは何 ?,オランデーズソース,アングレーズソース,サルサソース,アメリケーヌソース,アメリケーヌソース
