Q,Category,K1,K2,K3,K4,A
世界一大きいペンギンの一種は何 ?,理系,ダイオウペンギン,オオサマペンギン,キョウコウペンギン,コウテイペンギン,コウテイペンギン
正の整数aがあってaxaニ4が成り立つとき、aの値はいくつ?,理系,],2,4,7,2
東南アジアのジャングルで見られる「ラフレシア」といえば、「世界最大の何」 ?,理系,花,動物,"に
時","に
石",花
肉を柔らかくする働きを持つブロメラインという酵素を含むため、よく酢朋に入れられる果物は何 ?,理系,レーズン,パイナップル,リンゴ,グレープフルーツ,パイナップル
「binary digit」の略である、情報量の単位は何?,理系,ビット,ピクセル,ヘルソツ,ミッキー,ビット
太陽はどの方角から昇る?,理系,北,東,西,南,東
野生のヤドカリが、普通、住処としているものは次のうちどれ ?,理系,魚の死骸,サンゴ礁,海藻,具,具
液体や気体の中に置かれた物質に働く上向きの力を何という 2?,理系,空力,摩擦力,揚力,上カ,揚力
メスシリンダーやものさしについている、量をはかるための目安となる刻みを何という?,理系,目盛り,耳盛り,鼻盛り,口盛り,目盛り
地球の中緯度地域の上空でみられる、西奇りの風のことを何という ?,理系,偏西風,上空風,旋風,飛行機風,偏西風
次のうち、主に熱帯雨林に生息する尼虫はどれ?,理系,ネプチューンオオカブト,ゲンジボタル,モンシロチョウ,オニヤンマ,ネプチューンオオカブト
次のうち、弓を引いて矢を打ち出す仕組みに関係する力はどれ ?,理系,摩擦,弾性力,速心力,重力,弾性力
次のうち、水酸化ナトリウムには含まれていないり物質はどれ ?2,理系,アルミニウム,ナトリウム,水素,酸素,アルミニウム
次のうち、感染すると激しい下痢や喝吐を引き起こす感染病はどれ?,理系,コブラ,コピュラ,コレラフ,コプラ,コレラフ
次のうち、奇数はどれ ?,理系,2008,2014,2000,2015,2015
オーストラリアの学者マーシャルによって胃潰瘍の原因であることが明らかにされた細菌は何 ?,理系,ペロリ普,ボロリ菌,プロリ菌,ビピロリ菌,ビピロリ菌
次のうち、アルミニウムの元素記号はどれ2?,理系,Am,AQq,Al,Ar,Al
外から何度も力がかかることによって起こる骨折のことを何という ?,理系,限界骨折,耐久骨折,待機骨折,疲労骨折,疲労骨折
次のうち、実際にいるチョウの仲間はどれ ?           「,理系,ドッグチョウ,モンキチョウ,ホースチョワウ,キャットチョワウ,モンキチョウ
コンパスや定規を使わずに図形を所くことを何という ?,理系,マスターハンド,マジックハンド,フリーハンド,ゴッドハンド,フリーハンド
渦巻管、前庭、三年規管からなる体の部分はどこ ?2        「,理系,爪,眼球,内耳,,内耳
次のうち、ペットとしても飼育されるオオツチグモ科のクモの一般的な呼び名はどれ?,理系,タランチュラ,デンキクラゲ,ガンガゼ,オナモミ,タランチュラ
ヒトなどの動物の消化管に寄生する、局在な体を持った寄生虫を総称して何という ?,理系,ウエスギムシ,タケダムシ,サナダムシ,オダムシ,サナダムシ
皮膚がたるむことによって体の表面にできる、細かい筋目のことを何という ?,理系,そばかす,しみ,ぶや け,しわ,そばかす
ヨコバイ科の昆虫「耳剛」と、フクロウ科の鳥「木菓」に共通する読み方は何 ?,理系,シマフクロウ,アオバズク,コノハズク,"に ミズ
ee","に ミズ
ee"
1961年に人類初の宇宙飛行を行った、ソ連の宇宙飛行士は誰?,理系,ガガーリン,テレンコワ,サビツカヤ,レオーノフ,ガガーリン
カルシウムの元素記号はどれ ?,理系,Ka,Ca,K,C,Ca
ーー種類の元素のみからなる物質を指す言葉は何 ?,理系,混合物,化合物,"結蝶
日日",単体,単体
機械の歯車などに使われる、キ年固体の潤滑剤を何という 3?,理系,リース,グリース,フリース,リリース,グリース
100円の商品に8%の消費税がかかった場合、購入者が支払う金額はいくら?,理系,108円,1800円,800円,180円,108円
「考える」という意味のフランス語から名付けられた、黄色や紫色の花を咲かせるスミレ科の植物は何 ?,理系,パンジー,モンキー,ピンキー,デイジー,パンジー
次の鳥のうち、飛べないのはどれ?,理系,ペンギン,カナリア,ペリカン,アホワウドリ,ペンギン
次のうち、水素イオン濃度指数を表す記号はどれ ?,理系,Pa,pH,IPS,pdf,pH
樹木の幹の表面を覆う部分を、普通、何という ?,理系,樹鱗,樹毛,樹骨,樹友,樹友
次の人体の部位のうち、ふつう最も頭側にあるのはどれ2?,理系,尾てい骨,言有,生月板,食道,食道
「地球は青かった」という名言を残したソ連の宇宙飛行士は誰 ?,理系,テレンコワ,ガガーリン,レオーノフ,ナトフ,ガガーリン
新薬の特許が切れた後に製造される、同一成分の薬を何という ?,理系,ジェネリック医薬品,メタボリック医薬品,ターメリック医薬品,ヒステリック医薬品,ジェネリック医薬品
富山県や長野県で「県の島」に指定されている、特別天然記念物の鳥は回角,理系,ライチョワウ,タイチョウ,カイチョワウ,サイチョワウ,ライチョワウ
キンカン、ユズ、グレープフルーツといえは何科の植物 2,理系,アオイ科,ミカン科,バラ科,ツツジ科,ミカン科
富良野地方でよく見られる、紫色の花を咲かせることが多いシソ科の植物は何 ?,理系,ダリア,ラベンダー,カモミール,アーティチョヨーク,ラベンダー
ラーメンの麺がのびる主な原因は、麺が〇〇〇を吸い込むから。〇〇〇は何 ?,理系,金,木,ル,水,水
ある空気中の水蒸気量が飲和水蒸気量と同じになる温度は何?,理系,濁点,露点,失点,焦点,露点
「ノーベル賞」に名を残す、アルフレッド・ノーベルが発明したものといえはばは何 ?,理系,電球,飛行機,ワクチン,ダイナマイト,ダイナマイト
飯島澄男らが発見した、炭素原子がつくる円筒型の分子は何 ?  「,理系,カーボンナノチューブ,カーボンキロチューブ,カーボンテラチューブ,カーボンミリチューブ,カーボンナノチューブ
ものが燃えて光や熱を発する現象のことを何という ?,理系,"ゃ
っ)\",ひ,は,へへ,ひ
ニキビ、コナ、イエなどの種類がいとでsilち講和,理系,マニ,ヤニ,ノニ,ダニ,ダニ
人間の耳で聞き取ることができる、およそ20ン2万ヘルツの周波数の音を何という ?,理系,海潮音,効果音,可有聴音,五十音,可有聴音
原子核を構成する2つの粒子とは、陽子と何?,理系,酸性子,塩基性子,中性子,アルカリ性子,中性子
理科実験。酸性アルカリ性を調べる試験紙は?        「,理系,新聞紙,チリ紙,リトマス紙,コピー用紙,リトマス紙
次のうち、寺を構成するものとして正しいものはどれ2?,理系,磁界,炎,水滴や氷の粒,わたあめ,水滴や氷の粒
タナゴ、シシャモ、コイといえば、次のうちどんな生き物の仲間 ?,理系,,海藻,ヘビ,魚,魚
アップル往が開発した音楽持生ソフトは次のうちどれ?,理系,GOMPIayer,SoundPlayer Lilith,ITuneS,ALSon9,ITuneS
感電防止のために、電気機器から漏れた電気を地面に流すことを何という?,理系,マーキュリー,マーズ,ビーナス,アース,アース
日本で使用されている「工場」の地較二語放者に4EEさ(時/計の,理系,ハンドル,太陽,歯車,回転肩,歯車
次のうち、晶食動物はどれ?,理系,ハゲワンシ,ライオン,カバ,ハイエナ,カバ
次のうち、吐液が分泌されるのはどこ 2?,理系,小腸,口,大腸,"==|
月",口
「希少金属」ともいう、工業的に必要だが、産出量が少ない金属を何という ?,理系,ミディアムメタル,ミディアムレアメタル,ウェルダンメタル,レフ,レフ
一般的な自動車の燃料は何?,理系,灯油,水,ガソリン,石炭,ガソリン
「耳鼻咽喉科」の「咽喉」とは、人間の体のどの部分のこと ?,理系,くちびる,のど,歯,古,のど
ガビアル、アリゲーター、クロコダイルなどの種類がある虫類は?,理系,ワニ,ヘビ,ヤモリ,トカゲ,ワニ
次のうち、奇数の数はどれ?,理系,830252,628335,964622,91338/4,628335
次のうち、化学反応によって生じた2種類以上の元素からなる物質を指す言葉はどれ?,理系,会台物,総合物,集合物,化合物,化合物
人間の生活に利和倫を与える虫のことを、「震虫」に対して何という ?,理系,分申,易虫,駅虫,液虫,分申
20、40、60、80という4つの数の「在均値」となる値はどれ?,理系,20,SU,80,200,SU
日本人初のノーベル濾受賞者は?,理系,野依良治,江崎玲診奈,朝永振一朗,混川秀樹,混川秀樹
次のうち、「物質の三態」に数えられないものはどれ2?2,理系,固体,液体,思念体,気体,思念体
水の化学式は「H20」ですが、水蒸気の化学式は何?,理系,CH4,NH3,H20,CO2,H20
次のうち、かけ算九九の表に1回も登場しない数字はどれ ?,理系,15,12,13,14,13
水に溶けて水素イオンを出す酸に対して、水に溶けて水酸化物イオンを出す物質を何という ?,理系,笑基,油基,酢基,塩基,塩基
1949年、日本人として初めてノーベル賞を受賞した物理学者は誰?,理系,湯川秀樹,坂田昌一,朝永振一朗,仁科芳雄,湯川秀樹
